product_link_id,product_link,canonical_product_link,item_id_raw,sku_from_url,item_id_from_description,item_id_clean
1389,https://www.ulta.com/p/irl-soft-focus-2-in-1-powder-translucent-pimprod2036917?sku=2605186,https://www.ulta.com/p/irl-soft-focus-2-in-1-powder-translucent-pimprod2036917,2605186,2605186,2605186,2605186
139,https://www.ulta.com/p/conceal-perfect-smooth-finish-cream-powder-foundation-pimprod2012993?sku=2558962,https://www.ulta.com/p/conceal-perfect-smooth-finish-cream-powder-foundation-pimprod2012993,,2558962,2558962,2558962
1390,https://www.ulta.com/p/butter-glow-pressed-powder-pimprod2037620?sku=2605869,https://www.ulta.com/p/butter-glow-pressed-powder-pimprod2037620,2605869,2605869,2605869,2605869
1391,https://www.ulta.com/p/photo-finish-endurance-breathable-setting-spray-pimprod2034542?sku=2598371,https://www.ulta.com/p/photo-finish-endurance-breathable-setting-spray-pimprod2034542,2598371,2598371,2598371,2598371
1392,https://www.ulta.com/p/lock-seal-liquid-makeup-setter-pimprod2018887?sku=2571966,https://www.ulta.com/p/lock-seal-liquid-makeup-setter-pimprod2018887,,2571966,2571966,2571966
1393,https://www.ulta.com/p/on-set-essentials-primer-setting-spray-trio-pimprod2036836?sku=2606440,https://www.ulta.com/p/on-set-essentials-primer-setting-spray-trio-pimprod2036836,2606440,2606440,2606440,2606440
1394,https://www.ulta.com/p/travel-size-translucent-pure-setting-spray-16hr-pimprod2039346?sku=2610269,https://www.ulta.com/p/travel-size-translucent-pure-setting-spray-16hr-pimprod2039346,2610269,2610269,2610269,2610269
1395,https://www.ulta.com/p/mattifying-setting-spray-pimprod2043597?sku=2620538,https://www.ulta.com/p/mattifying-setting-spray-pimprod2043597,2620538,2620538,2620538,2620538
1396,https://www.ulta.com/p/soft-velvet-finishing-powder-pimprod2022213?sku=2578312,https://www.ulta.com/p/soft-velvet-finishing-powder-pimprod2022213,,2578312,2578312,2578312
1397,https://www.ulta.com/p/miracle-matte-universal-finishing-pressed-powder-xlsImpprod17631373?sku=2524917,https://www.ulta.com/p/miracle-matte-universal-finishing-pressed-powder-xlsImpprod17631373,,2524917,2524917,2524917
1398,https://www.ulta.com/p/mist-thing-hydrating-setting-spray-pimprod2044061?sku=2620465,https://www.ulta.com/p/mist-thing-hydrating-setting-spray-pimprod2044061,,2620465,2620465,2620465
1399,https://www.ulta.com/p/dew-lock-hydrating-set-refresh-mist-pimprod2040543?sku=2611572,https://www.ulta.com/p/dew-lock-hydrating-set-refresh-mist-pimprod2040543,,2611572,2611572,2611572
14,https://www.ulta.com/p/born-this-way-natural-finish-longwear-liquid-foundation-xlsImpprod12621017?sku=2290020,https://www.ulta.com/p/born-this-way-natural-finish-longwear-liquid-foundation-xlsImpprod12621017,2290020,2290020,2290020,2290020
140,https://www.ulta.com/p/olay-simply-ageless-3-in-1-liquid-foundation-xlsImpprod13501013?sku=2296380,https://www.ulta.com/p/olay-simply-ageless-3-in-1-liquid-foundation-xlsImpprod13501013,2296380,2296380,2296380,2296380
1400,https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002?sku=2122525,https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002,,2122525,2122525,2122525
1401,https://www.ulta.com/p/ready-set-sealed-setting-spray-pimprod2043830?sku=2620794,https://www.ulta.com/p/ready-set-sealed-setting-spray-pimprod2043830,,2620794,2620794,2620794
1402,https://www.ulta.com/p/pixi-hello-kitty-makeup-fixing-mist-pimprod2033224?sku=2598118,https://www.ulta.com/p/pixi-hello-kitty-makeup-fixing-mist-pimprod2033224,2598118,2598118,2598118,2598118
1403,https://www.ulta.com/p/fix-last-18h-make-up-fixing-spray-pimprod2021848?sku=2574310,https://www.ulta.com/p/fix-last-18h-make-up-fixing-spray-pimprod2021848,2574310,2574310,2574310,2574310
1404,https://www.ulta.com/p/skin-bloom-cream-powder-compact-pimprod2042598?sku=2619734,https://www.ulta.com/p/skin-bloom-cream-powder-compact-pimprod2042598,,2619734,2619734,2619734
1405,https://www.ulta.com/p/skin-perfecting-powder-mineral-glow-xlsImpprod18931484?sku=2531401,https://www.ulta.com/p/skin-perfecting-powder-mineral-glow-xlsImpprod18931484,2531401,2531401,2531401,2531401
1406,https://www.ulta.com/p/lit-mist-illuminating-setting-spray-pimprod2039301?sku=2606407,https://www.ulta.com/p/lit-mist-illuminating-setting-spray-pimprod2039301,2606407,2606407,2606407,2606407
1407,https://www.ulta.com/p/take-day-off-makeup-remover-lids-lashes-lips-xlsImpprod10791749?sku=2153847,https://www.ulta.com/p/take-day-off-makeup-remover-lids-lashes-lips-xlsImpprod10791749,2153847,2153847,2153847,2153847
1408,https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145?sku=2584166,https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145,2584166,2584166,2584166,2584166
