canonical_product_link,normalized_comment,number_of_reviews,canonical_review_ids
https://www.ulta.com/p/prime-of-your-life-smoothing-firming-treatment-primer-pimprod2024582,great product,2,"[""a17a6289a41bb9180347f4df1a4ef03c116fa9e5aadcdb4824df665990a634a9"", ""d2e03c29f573ac949ccd31456003f4771b7ac0c29d2b987b8e64bbec7beef059""]"
https://www.ulta.com/p/quad-goals-multi-palette-pimprod2026433,i cannot say anything bad about these stacks! super convenient &amp; the colors are perfect!!,3,"[""5bfabe5c1858c20c882f66b9da6cfd90fd5270a5815f13e5150d3642b1649497"", ""7d202eaec20881ac05c1f20b85926c93fcd1d1e0d230c6f27a9fd3bbec4ee637"", ""b21f5710ab538853cea5d26ea9efa60071f622d07e3e73ec000388ae3d5e270a""]"
https://www.ulta.com/p/real-flawless-luminous-perfecting-talc-free-pressed-finishing-powder-pimprod2038474,i was really impressed with the way this powder looked and felt. did not leave a weird white shadow on my face at all.,2,"[""3954828aa433d6cbee09cb27991deae7e5644c95ee1b4223f710702e64db1ba0"", ""ececfb91c2dfa69802b64b9614f1b04c231a76cb94fc73dd73f4a04e592216ca""]"
https://www.ulta.com/p/smashbox-x-becca-shimmering-skin-perfector-pressed-highlighter-pimprod2028917,"this isn't the original color or formula. i noticed it the moment i swatched it. it doesn't wear the same as before. i miss becca's original champagne pop. this color is too gold &amp; dull. not what a highlighter is supposed to look like, let alone champagne pop. the formula is too dry &amp; flaky. their highlighters used to be soft, buttery &amp; with one sweep of the brush, there was so much color pay off. i am disappointed with this product. i'm glad i wasn't the only one who noticed this isn't the original product.",3,"[""557beae72d6e9c8e3b20dc8e3e7ea92770d897dad7ccb3080fdfeec79441644e"", ""9752a5531ddc8c034c3a7e4c2bf3aa21e67acb969db82c3fc0411c89095c5044"", ""daf3a642311a83c123c41ed0c28915ca788a391e6320ed90114f920cb58bec75""]"
https://www.ulta.com/p/superpowder-bronzing-powder-pimprod2008557,"*received product for free from influenster for my honest review* i really wanted to like this product, truly. however, for the winter months i notice this color seemsâ¦well, waaaay too orange. for the summer when i'm a bit tanner it works a bit better but still, very orange. good pigmentation, long lasting, a little bit of shimmer to give that healthy glow. unfortunately it just didn't work for me. 🤷🏼ââï¸",2,"[""0419bed465776c7ee0b746b51ce9b5a146bb013cc439ffe73da547906c0221ea"", ""38bd707e95e2faa87b36c7a94ac047e39bbac62b5004975868d5d90d7c14baa8""]"
https://www.ulta.com/p/travel-size-photo-finish-resurface-primer-with-glycolic-acid-pimprod2044511,i love this primer. it helps my makeup stay on throughout the day and smooths my skin so it looks flawless. i would definitely buy again. there is no scent which is great too!,2,"[""2d6d1cc4a4b0695596128b14b00f3068aaea5f04fb5adefe4d556622d0aad4c3"", ""c8ea52e4dc9bdf4efd50fb3b5d2120b0ff03312029912e46e4c2d1970c953d6c""]"
https://www.ulta.com/p/trippin-smooth-powder-pimprod2033295,"i listen to the beautiful and bothered podcast, if you love makeup and learning more about it, you know. ;) johnny said this powder was really good for under eyes. their recommendations never disappoint. this powder is not drying and does not emphasize fine lines, wrinkles or pores around your nose area. i have tried so many setting powders and this one was really good for under eyes. plus the packaging is really fun, innovative and works great to keep extra powder from spilling everywhere. i've never heard of this makeup brand before, listening to their podcast has made me venture out with more brands and products. im really glad i did because i have found some amazing products!",2,"[""9c60c1c5c932eed74a1bb713aedc36c92d9a24b812c77bc93a3827784b20fcd3"", ""bd3874ef81dc508d62a1a67c1036c3ccc34f75466bf1ba13275571a3fe263e12""]"
https://www.ulta.com/p/true-match-radiant-serum-concealer-pimprod2042850,i truly love this product it is amazing. i wouldn't change a thing about this product. i would recommend this product to anyone. it truly covers and hides all ky blemishes and looks like my skintone.,2,"[""29949ef2a97b10bc1316a0ee180cfc07d5581751863240b1f9b652b4c96bc103"", ""8f96616068fa87ea4f15761efe6a8d1c8c45cde3a1fb87e94027adc3e979a98a""]"
https://www.ulta.com/p/true-match-radiant-serum-concealer-pimprod2042850,this product shockingly has great coverage! there is a slight bronzing/sparkling effect but it is not too powerful actually it does gives a nice radiance. the applicator is nice as well. 10.5 is too dark for me but i'll definitely look into getting another shade!,2,"[""c48365aa470a11f95787dbba937b5c0fe016d87c5357848e2324e4ce7e6dc2d9"", ""f163c9b561fd936e056c5b64b0aac390dff4e5d7bb406e697b3b0e4bec69be2a""]"
https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028,i like it very much!,2,"[""86d18c3afab96874fde81c0d7fa98de342275948b7c8f6ccbf84ce372792da70"", ""d2808561d5064b77e116107ca243fbc36ddc2cfc376121d88a1d6ddd5c483dfa""]"
