normalized_comment,number_of_reviews,number_of_products,canonical_product_links
amazing product,2,2,"[""https://www.ulta.com/p/heavens-hue-highlighter-xlsImpprod15311013"", ""https://www.ulta.com/p/matte-beauty-blush-wand-pimprod2043369""]"
as a dark skinned girl i it's hard to get a good matching shade but this one was perfect for me,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
"as i age (graceful) my brown skin has changed which required a new regimen. after try different makeup remover, cleaners, serums...i was overwhelmed. istick with 3 products. 1.olay regenerist retinol24(moisturizer) 2.panoxyl acne foming wash 3.cerava- renewing sa cleanser and 4. elemis-pro collagen naked cleansing balm. worth every penny! removes makeup...leaves my skin glowing.",2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
"as soon as i opened it, i turned it to swatch onto my hand and the entire stick fell out. on top of that, it's nearly translucent just a sparkly sticky clear ""contour""",2,2,"[""https://www.ulta.com/p/velvet-contour-bronzer-stick-pimprod2040056"", ""https://www.ulta.com/p/velvet-contour-stick-blush-pimprod2040099""]"
"at almost 54 i've come back to estã©e lauder. my skin has changed and it's been more challenging to find blush that is complimentary, and doesn't make me feel like a clown. the blush colors are beautiful, soft and blend out well.",2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
"average primer. leans orange if youre fair / can be streaky and pill. caused horrific cystic acne breakout the day after using it which took weeks to heal. (i follow a regular double cleansing routine, use mandelic acid, a retinoid, etc). i didnt keep it on for long because of pilling. not for sensitive / acne prone skin. extra star because the packaging is pretty and thats why i tried it. returned.",2,2,"[""https://www.ulta.com/p/one-step-correct-brightening-correcting-primer-xlsImpprod2390219"", ""https://www.ulta.com/p/travel-size-one-step-correct-brightening-correcting-primer-xlsImpprod16451215""]"
awesome hydration brightens. is non greasy,2,2,"[""https://www.ulta.com/p/smooth-affair-facial-primer-brightener-pimprod2004113"", ""https://www.ulta.com/p/smooth-affair-mattifying-face-primer-pimprod2033620""]"
awesome product.,2,2,"[""https://www.ulta.com/p/mineral-veil-setting-powder-VP11355"", ""https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002""]"
"beautiful color with great pigmentation, but easy to blend. extremely versatile, it easily can be applied lightly if you prefer a more natural look, but also easy to apply it for a more bold look. it's just a beautiful color, with an outstanding formula.",2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
beautiful coverage and color. i love this brand. could wear all year round.,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
"beautiful product, i have used it cosmetics since my 30's",2,2,"[""https://www.ulta.com/p/bye-bye-dark-spots-concealer-serum-pimprod2038114"", ""https://www.ulta.com/p/bye-bye-pores-blush-xlsImpprod16281007""]"
beautiful shade for my red hair and fair skin,2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
"beautiful tones, perfect size, and it smells wonderful",2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
beautiful. i'm light to medium tone. age72. looks soft an natural.,2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
been using this product for 2 years now. and it is my favorite setting spray. i use it after i use a hydrating spray and letting it dry. this minimizes my large pores and keeps my suoer oily skin at bay. love this products.,2,2,"[""https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-mini-pimprod2040598"", ""https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-pimprod2020913""]"
been using this product for several years it never fails to get difficult to remove products off and leaves my skin feeling nice.,2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
been wearing this for 5 years. will not change. wish it was a little less expensive,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
benefit porefessional primer is still my favorite as it helps blur fine lines and you can apply it before or after makeup. as a senior citizen i need all the help i can get! trial size is nice to carry in pocket or purse for touchups.,2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
best,2,2,"[""https://www.ulta.com/p/chocolate-soleil-melting-bronzing-sculpting-stick-pimprod2044529"", ""https://www.ulta.com/p/pro-longwear-liquid-correcting-concealer-xlsImpprod15921222""]"
best concealer ive used just wish more product came in the applicator,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
best coverage i've ever had before. does crease and feel a bit greasy though,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
"best foundation i've used. so natural looking! works on my dry areas and oilier areas, lasts all day long and never gets cake-y. love it so much! works great over my color corrector to cover dark spots under my eyes and gives a beautiful natural looking evenness to my skin.",2,2,"[""https://www.ulta.com/p/halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2016307"", ""https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372""]"
best primer,2,2,"[""https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041"", ""https://www.ulta.com/p/travel-size-original-photo-finish-smooth-blur-oil-free-primer-pimprod2033047""]"
best primer ever! it is so soft and creamy. it blends amazing. it feels great on skin and leaves skin feeling so smooth. it actualy blurs out pores really good. i have oily skin and it does not make skin more oily. it is not greasy either. it also does not clog pores and is acne safe. feels leightweigt. definitly recommend.,2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
blends away to basically no coverage but a lite orange dewy tint.,2,2,"[""https://www.ulta.com/p/halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2016307"", ""https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372""]"
bought a small jar thankfully &amp; it isn't adding moisture to my face? nivea lotion works better? not sure what all the hype is about this?,2,2,"[""https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025"", ""https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028""]"
