normalized_comment,number_of_reviews,number_of_products,canonical_product_links
i do think i got a smoother finish while using product under foundation. i have older skin with texture and was looking for something to help with a better make up application and more smoother appearance. i do think it has helped.,2,2,"[""https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025"", ""https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028""]"
"i don't even use it because it's so hard to blend. you can make it work if you apply it to the brush first. luckily its so cheap that i cannot really say i wasted my money, but its not worth it. i never reach for it. better products on the market, spend a little extra or use a dark concealer if youre on a budget.",2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-conceal-pimprod2012854"", ""https://www.ulta.com/p/megaglo-makeup-stick-contour-xlsImpprod16731047""]"
"i don't know if it was just my skin type or something or if i did something wrong with the product but it was extremely hard to blend. it was very thick and though the coverage was good at first, it didn't last even after setting it and flaked away. not for me.",2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
"i don't know what about this is causing irritation under the eyes, but i had no issues with my skin care before this using it. my eyes feel irritated underneath and on my forehead where i put it. it's also very drying and i wouldn't recommend it for those who have combination skin probably better for those who don't have a lot of texture and also are very very oily.",4,4,"[""https://www.ulta.com/p/bake-set-soft-focus-setting-powder-pimprod2009225"", ""https://www.ulta.com/p/jumbo-bake-set-soft-focus-setting-powder-pimprod2043957"", ""https://www.ulta.com/p/mini-bake-set-soft-focus-setting-powder-pimprod2043959"", ""https://www.ulta.com/p/totally-set-mini-brighten-set-powder-duo-pimprod2043963""]"
i don't really wear that much makeup and i find that i still wake up with some mascara under my eyes after using this at night.,2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
i don't understand the science behind why this clear gel blurs my lines and poors and gives me a matte glow without any heavy make-up or cakey look. but it does just that. i use this every day to just give my skin a little boost along with some light cream blush and mascara for an almost make-up free look.,2,2,"[""https://www.ulta.com/p/cc-water-with-hyaluronic-acid-pimprod2025143"", ""https://www.ulta.com/p/travel-size-cc-water-with-hyaluronic-acid-pimprod2025144""]"
"i don't understand why this doesn't get more buzz than it does. i've been using for 1.5 yrs, have been influenced to try 2 others in that time, and immediately go back to halo. i do have to mix two neutral shades to get my summer color but that's typical for me. it stays put all day, doesn't settle into my wrinkles or pores, plays well with my other makeup, looks natural, has just the right amount of glow. i do wear a moisturizer under this bc my skin is very dry. i use this as my foundation year-around. smashbox, please don't stop making this!!!",2,2,"[""https://www.ulta.com/p/halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2016307"", ""https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372""]"
"i don't usually write reviews but this bronzer is absolutely amazing. it is such a staple makeup item for me. i truly think everyone should get this. it's beginner friendly, blends beautifully, glowy but not sparkly, natural looking bronze color (even on fair skin)!!! absolutely amazing. 10/10!!!!",2,2,"[""https://www.ulta.com/p/butter-bronzer-murumuru-butter-bronzer-xlsImpprod13621011"", ""https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750""]"
"i dont usuallt post reviews but i am revolted by this product. i am usually a combination skintype and during the winter, dry. i also need to add i don't normally get breakouts! up until i started using this product my face has not been the sameâ¦ this has been the only different makeup product ive been using for the last 3 month and my skin and makeup have gone drastically downhill. my t-zone-never oily before. now? only takes about an hour until i get shiny and my makeup starts spreading and my face starts feeling sticky. all in all: do not buy if you are looking to go an affordable route to replace your primer (such as smashbox) â¦biggest mistake. i wish i came to realize how bad this product was 3 months ago.",3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
"i dont usually write reviews, but this powder truly blew me away. i picked it up because i'll be in a wedding &amp; didn't want to use airspun. i'm shocked at the price point since it is such good quality. it's soft like velvet, lightweight, no flashback, and most importantly no creasing. totally reccomend trying it out.",4,4,"[""https://www.ulta.com/p/bake-set-soft-focus-setting-powder-pimprod2009225"", ""https://www.ulta.com/p/jumbo-bake-set-soft-focus-setting-powder-pimprod2043957"", ""https://www.ulta.com/p/mini-bake-set-soft-focus-setting-powder-pimprod2043959"", ""https://www.ulta.com/p/totally-set-mini-brighten-set-powder-duo-pimprod2043963""]"
"i enjoy using this product daily as a lightweight spf and a skin tint! it's extremely thin and not greasy at all! i like the packaging and the sleep design, and it fits great in my bag for on the go!",3,3,"[""https://www.ulta.com/p/bronzing-blendrops-spf-40-priming-drops-pimprod2043859"", ""https://www.ulta.com/p/illuminizing-blendrops-spf-40-priming-drops-pimprod2043861"", ""https://www.ulta.com/p/perfecting-blendrops-spf-40-priming-drops-pimprod2043860""]"
i feel the pink packaging gives the impression that the product is going to be too light but it's the perfect peachy pink shade. it blends out beautifully. gives you that just raced up a few flights of stairs flushed glow.,2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
"i find it good for my specific under eye bags due to hollow space under the eye/skin. i also have used it for discoloration, but they could offer more colors. it doesnt help/hide 100% once my specific concealer was afddd on too.",2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
i first bought the smaller size to get a better color match and to see if i liked the coverage. great product with great coverage it has replaced my foundation.,2,2,"[""https://www.ulta.com/p/halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2016307"", ""https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372""]"
"i first discovered this product several years ago and loved it for 'covid coverage' where i didn't want to do a full face of makeup. it was quite a bit cheaper then but has only gone up in price past the point i think is reasonable for a bb/cc cream no matter how good it is. also, they have been out of stock for months in the shade clair and customer service is 0% helpful. they say 'we don't know when/if this product is coming back in stock'. for months. due to this, i have since found other bb/cc creams that perform the same at less than half the cost. i highly recommend finding a less expensive and more reliable brand.",2,2,"[""https://www.ulta.com/p/bb-cream-spf-20-pimprod2005693"", ""https://www.ulta.com/p/travel-size-bb-cream-spf-20-pimprod2015578""]"
i found this product to get into my eyes. i never knew how much to use and couldn't see well for like 15 minutes after. it was just a mess. but i especially didn't like the blurry vision.,2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
"i gave this a few weeks until i finally threw it away this morning. i had a feeling it was causing my breakouts, but after five days of not wearing make up, i use this again and i woke up with new acne. not for me!",3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
i gave this product a try as ive been on thr hubt for a new primer to help with redness. i'm just not impressed - i didn't see a difference and found thr product to be quitr watery.,3,3,"[""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-green-xlsImpprod3280313"", ""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-lavender-xlsImpprod3280315"", ""https://www.ulta.com/p/studio-perfect-face-primer-in-clear-xlsImpprod3280311""]"
i give this product before star i like the color palette the only thing that i don't like is that some powder flakes off and onto my clothes but other than that it's a good product.,2,2,"[""https://www.ulta.com/p/trublend-so-flushed-high-pigment-blush-pimprod2016942"", ""https://www.ulta.com/p/trublend-so-flushed-high-pigment-bronzer-pimprod2017123""]"
"i got a sample of this and there is nothing bad i can say about it. i used this with a little bit of bronzer and my face looked so beautiful, natural and glowing. would definitely recommend!",2,2,"[""https://www.ulta.com/p/photo-finish-illuminate-glow-primer-pimprod2030497"", ""https://www.ulta.com/p/travel-size-photo-finish-illuminate-glow-primer-pimprod2032764""]"
"i got a sample, and i was saving it for a day that i wanted to skip my full face of makeup but get the promised color-corrected result of resuced redness. the package says use with or without makeup to correct redness. i moisturized my face per usual, waited a little while as i normally do to apply primer when i'm preparing to apply foundation. when i started to apply this ""primer"" i realized not only does it not blend like normal primers, but it's green. my plan was to apply this primer to simply reduce redness for my afternoon plans to go for a long walk with a friend. i didn't have time to rewash my face and start over. so i applied foundation and powder but still had green showing through from this unblendable abomination. i felt like a cast member from guardians of the galaxy. so glad this was only a sample and i never have to try it again. smashbox, what the heck are you thinking and who is testing this product???",2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
"i got a small one during the buy 2 get 1 free minis, and i loveee this product! my first time trying it. i think it worked so well breaking down my makeup, mascara took a bit more work but still removed it very well. the smell is divine! very relaxing and not overdone. i love the texture of this product, really silky and doesnt dry my skin out. a little goes a long way so even though i got the mini it lasted me a while.",2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
i got the laguna bronzing powder from bzzagent. thank you so much for giving me a chance to try the best powder i have never tried this before. i fell in love with laguna bronzing powder right away . i love it refreshing and lasting. its smooth and gets right on the brush perfectly. i can't do my makeup without it i'm gonna to buy it when mine runs out,2,2,"[""https://www.ulta.com/p/laguna-bronzer-powder-talc-free-pimprod2038440"", ""https://www.ulta.com/p/mini-laguna-bronzer-powder-talc-free-pimprod2038438""]"
"i got the mini but will be getting the full size right when it runs out. i absolutely love it, it's not too dark and totally buildable. i use it over the milk makeup cream bronzer and highly recommend that. i live in florida and it doesn't melt off with sweat!!",3,3,"[""https://www.ulta.com/p/hoola-matte-powder-bronzer-jumbo-pimprod2045528"", ""https://www.ulta.com/p/hoola-matte-powder-bronzer-mini-xlsImpprod13741145"", ""https://www.ulta.com/p/hoola-matte-powder-bronzer-xlsImpprod820346""]"
"i got the shade floral majority which is a mid tone peachy pink. i have a medium skin tone and it shows up very well, and is easily buildable. the texture is smooth, creamy, and lightweight. i pick it up on a brush straight from the stick and apply it on top of a powdered face. i have oily skin, so i have to set first. i have no trouble blending it and building it up on top of powder. the finish is natural and it just melts right into the face and looks lovely! it lasts all day for me until i take off my makeup. i haven't noticed a strong odor or obvious shimmer in this one. the peach bums shade is straight glitter and no color on my face, so i much prefer this color!",2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
"i got the shade light ivory and then i recieved it ,it was literally orange . i can't use it's suppose to be light and it's dark orange ,",2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
"i got this as a sample and want to go back for more. it takes my makeup right off without sticky residue. my only concern is how expensive it is, but i dont have to use much at all, so i can use a jar for a while.",2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
i got this as i was under the impression this would be a green tinted color corrector to combat redness. did not remotely cover the redness i have in my complexion.,3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
"i got this because i have rosacea and as i have gotten older, it seems to be more noticeable/more irritable so i have had a few flare ups and this definitely covers the red and makes my skin feel better. i have noticed a difference even when i remove the product at the end of the day. my only problem with this is tiny particles of glitter that are stuck to my face. i was hoping for more iridescent and glowy not glittery. i would consider this again if i couldn't find something similar without glitter.",2,2,"[""https://www.ulta.com/p/one-step-correct-brightening-correcting-primer-xlsImpprod2390219"", ""https://www.ulta.com/p/travel-size-one-step-correct-brightening-correcting-primer-xlsImpprod16451215""]"
"i got this product to help blend out my rosacea and it didnt even cancel out a bit of it. it blended smoothly and made my face feel soft, but when i put foundation over it, it clumped and peeled off",3,3,"[""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-green-xlsImpprod3280313"", ""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-lavender-xlsImpprod3280315"", ""https://www.ulta.com/p/studio-perfect-face-primer-in-clear-xlsImpprod3280311""]"
i got this trying to find my shade for bronzer. it's build able and very pretty. just a tad too much like my skin color so i have go up a shade. but i'll continue to use this anyways for blending.,2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
i grabbed this at ulta because i wanted to try a new bronzer that could work for me. it worked well applying but trying to blend it is a nightmare. it doesn't blend well so just be prepared but besides that its good.,2,2,"[""https://www.ulta.com/p/butter-bronzer-murumuru-butter-bronzer-xlsImpprod13621011"", ""https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750""]"
"i had been using pure color envy for several years, and when they discontinued the color i was using, i called, and they recommended the color i use now. i love this estee lauder blush because, it lasts. sometimes i'll add a little in the late afternoon, but it holds up really well.",2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
"i had been using the lancome teint idole ultra wear foundation and it kept separating. i couldn't even touch my face without ruining my foundation. enter this, my makeup goes on flawlessly and i need less foundation it seems. it also gives that beautiful glow everyone is trying to achieve without making you oily. will buy again!",2,2,"[""https://www.ulta.com/p/photo-finish-illuminate-glow-primer-pimprod2030497"", ""https://www.ulta.com/p/travel-size-photo-finish-illuminate-glow-primer-pimprod2032764""]"
"i had high hopes for this cleansing balm given the reviews, but i was disappointed. the scent is very strong and it's not a good scent in my opinion. it's super thick but didn't seem to take off my makeup very well. i even used a makeup wipe afterwards and there was still quite a lot leftover. it also dried out my face. ive used far cheaper balms that not only give more product, but completely takes all my makeup off without leaving my skin dehydrated.",2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
i had my doubts if this would really work but it really does camouflage the redness. i was very surprised &amp; happy with this primer.,2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
"i had to return this as the color didn't match my tone. in addition it had a dark hue undertone that was unexplainable. it make definitely work for someone else, just not for me.",2,2,"[""https://www.ulta.com/p/i-am-magic-concealer-pimprod2006835"", ""https://www.ulta.com/p/i-am-magic-mini-concealer-pimprod2026783""]"
i had tried this product multiple times hoping to like it but it did not help with redness or uneven skintone. will not repurchase,2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
i hate this so much i've tried this previously and it's worked well but it's not horrible now it's actually terrible worst concealer ever don't buy this if you have a hard time with creasing in general and it shows texture like really i hate this dont buy this!! if you're reading reviews and weighing the options don't even buy this it's mediocre skip it,2,2,"[""https://www.ulta.com/p/i-am-magic-concealer-pimprod2006835"", ""https://www.ulta.com/p/i-am-magic-mini-concealer-pimprod2026783""]"
"i have #13 and it fits my skin color perfectly covering darkness under the eyes and pluck marks under my eyebrows (no longer plucking - uh no) i use maybelline fitme#310 to set it and i'm good to go the entire day. i even have some flat moles in my sparse sideburn area, and it covers them right up. i love the formula and the coverage. return purchaser.",2,2,"[""https://www.ulta.com/p/i-am-magic-concealer-pimprod2006835"", ""https://www.ulta.com/p/i-am-magic-mini-concealer-pimprod2026783""]"
"i have a hard time believing all of the positive reviews are legit, it did absolutely nothing for me.",2,2,"[""https://www.ulta.com/p/one-step-correct-brightening-correcting-primer-xlsImpprod2390219"", ""https://www.ulta.com/p/travel-size-one-step-correct-brightening-correcting-primer-xlsImpprod16451215""]"
"i have a light skin tone, this looked too orange on me, but it did blend well.",2,2,"[""https://www.ulta.com/p/velvet-contour-bronzer-stick-pimprod2040056"", ""https://www.ulta.com/p/velvet-contour-stick-blush-pimprod2040099""]"
"i have a lot of red in my skin, and this definitely helps",2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
"i have a lot of redness on my cheeks, so i found that it's best for me to just use it on my cheeks. i need a primer that's more hydrating so i mix the two for my cheeks then use something else for the rest of my face.",2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
i have been a loyal porefessional primer user for over five years and i have many of benefit's other products. i purchased porefessional lite in the regular and mini sizes. it is a waste of money. it squeezes out in a very tiny stream and just rolls off my finger onto the floor. when i squeeze it onto a flat surface i have to smush it first and then it pills and falls off when i apply it on my face. when i phoned customer service they acknowledged that this product has this issue. no offer was given to replace the product or to make amends.,2,2,"[""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-mini-pimprod2029931"", ""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-pimprod2029932""]"
i have been buying bareminerals products for many years. i like the translucent mineral veil and use it all the time as part of my makeup routine.,3,3,"[""https://www.ulta.com/p/illuminating-mineral-veil-setting-powder-prod2138919"", ""https://www.ulta.com/p/mineral-veil-setting-powder-VP11355"", ""https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002""]"
i have been looking for a good primer and this went worked wonders! i absolutely love it and highly recommend.,2,2,"[""https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025"", ""https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028""]"
i have been sing this bronzer nonstop since i received it. it is hard to find a shade that matches so well. i received this product for free since and had a. we. great to use.,2,2,"[""https://www.ulta.com/p/laguna-bronzer-powder-talc-free-pimprod2038440"", ""https://www.ulta.com/p/mini-laguna-bronzer-powder-talc-free-pimprod2038438""]"
i have been telling everyone i know about this amazing product. best powder i've ever used for everyday. i was getting tired of my liquid foundation on my jackets etc. this powder works on my melasma and my daughter just got it for under eyes. i plan on getting one for my mother for rosacea.,2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
"i have been using estee lauder make up and perfumes for over 30years and will not change using the. as expected the blush that i bought is great, and i love the free gifts",2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
"i have been using smashbox primers for years, and decided to give this one a try for the first time. i have a very oily t zone and this definitely helps, with the right application. it didn't work with my liquid foundation or cream blushes, it would just pill up and roll off all the primer and my makeup. my best results were achieved with this primer all over, allowed to dry completely and then my laura gellar cc powder foundation and any powder blush and highlighter, applied with a brush in a stippling motion(pressed in, not swiping). this application gave me great results and looked gorgeous. my oil was controled and i didnt need to use blotting papers until hours later. its a win once you figure out how to work with it.",2,2,"[""https://www.ulta.com/p/photo-finish-control-mattifying-primer-pimprod2030521"", ""https://www.ulta.com/p/travel-size-photo-finish-control-mattifying-primer-with-salicylic-acid-pimprod2032762""]"
i have been using take the day off cleansing balm for years and wouldn't go a day without it !!,2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
"i have been using this for a few years, and i love it. i hate the heavy feel of makeup on my face, and i just use this in place of any foundation. the only problem is that the pump keeps malfunctioning. the last 3 or 4 i bought have stopped working.",2,2,"[""https://www.ulta.com/p/blurring-moisturizing-filter-primer-pimprod2024916"", ""https://www.ulta.com/p/supersize-blurring-moisturizing-filter-primer-pimprod2024917""]"
"i have been using this for many, many years. i like to spray a facial mist to keep it from looking too ""powdery"" on my mature skin. it keeps getting more expensive, but for now i'll keep buying.",2,2,"[""https://www.ulta.com/p/mineral-veil-setting-powder-VP11355"", ""https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002""]"
"i have been using this for several years and absolutely love it. i have another foundation for when i want to look extra put together, but for a regular day, this has great coverage and is a huge time saver since i don't need to apply moisturizer or concealer first, not to mention the spf 50. makes it a great all-in-one for travel! i think the shade descriptions are a little off: i am fair with cool undertones and tend to opt for neutrals to warm me up, especially in summer. i have been wearing fair (the lightest shade available at the time), even though it supposedly has warm yellow undertonesâi found it to be slightly warm at first, but i think my cool powder neutralizes it? tried fair light once since it's supposed to be cool/rosy, but it was way darker and not a good match at all! i would go test shades before purchasing. to those complaining that it doesn't stay in place, try it on a bare face (no serums and whatnot!) immediately after washing face, before it starts to feel dry, and always set with powder before adding any kind of setting spray, if you're into those. setting spray alone does not set cream/liquid foundations! you need the dry to set the wet.",2,2,"[""https://www.ulta.com/p/cc-cream-with-spf-50-xlsImpprod5770257"", ""https://www.ulta.com/p/mini-cc-cream-with-spf-50-pimprod2013015""]"
"i have been using this matt foundation for a couple of years, and i love it. i don't need the liquid foundation after i wear this. highly recommended",2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
i have been using this product daily for years as it leaves my colorado dry skin hydrated all day. i just bought a new can and feel as if there has been a formula change? it smells different and im now breaking out when i've never had this issue before. am i losing my mind??,2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
i have been using this product for almost two weeks and i love it! someone from ulta told me that i can use this as a blush and eyeshadow and that's what i have been doing! it's pretty pigmented but very blend-able as well. i would recommend this product for someone that wants buildable but natural blush and eyeshadow!,2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
"i have been using your products for 50 plus years. the blush compacts are not user friendly to the older generation, it is hard to open, needs an indent or some other catch for gripping and opening.",2,2,"[""https://www.ulta.com/p/pure-color-envy-sculpting-blush-pimprod2030735"", ""https://www.ulta.com/p/pure-color-envy-sculpting-blush-refill-pimprod2031074""]"
i have combination skin from dry to oily. this left my skin so flakey and dry which cause my foundation to look horrible and break. i tried not using it and it made such a difference. it may depend on your akin but didnt work for me. unfortunately the tester was done on my hand not my face.,2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
i have combo skin and old acne pitted scarring. after i turned 30 my once very oily skin dried out considerably. this is the only primer that hydrates how i want without giving me too much of a glow on my base or making my makeup slide throughout the day. it's not super heavy and i think someone with slightly oily skin could use this comfortably. i still get oily in my tzone and it doesn't separate in that area where when i tried milk hydrogrip and the elf dupe my makeup looked a little strange in my tzone by end of day. smash box also carries the only foundation that matches my skin tone without mixing shades (studio skin in shade 1.05 fair warm olive). love smashbox!,2,2,"[""https://www.ulta.com/p/photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2030498"", ""https://www.ulta.com/p/travel-size-photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2032761""]"
"i have dry porcelain skin, i can never find a good color match for my fair skin and this is the best i have ever used. love love love it.",2,2,"[""https://www.ulta.com/p/hide-peek-concealer-pimprod2024755"", ""https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569""]"
i have dry skin and this adds hydration and gives me a healthy glow all day long. i've repurchased 2x and definitely will again,2,2,"[""https://www.ulta.com/p/photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2030498"", ""https://www.ulta.com/p/travel-size-photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2032761""]"
i have extremely oily skin and makes my skin look flawless for about 2 hours and then throughout the day becomes very shiny. doesn't help me much.,2,2,"[""https://www.ulta.com/p/photo-finish-control-mattifying-primer-pimprod2030521"", ""https://www.ulta.com/p/travel-size-photo-finish-control-mattifying-primer-with-salicylic-acid-pimprod2032762""]"
i have extremely sensitive dry skin and this works so well for me. creates the perfect poreless canvas and holds onto my foundation. ive tried it with both skin tint by glossier and urband decays hydromaniac and it works well with both and hasnt irritated my skin.,2,2,"[""https://www.ulta.com/p/hydrating-face-primer-large-xlsImpprod17451019"", ""https://www.ulta.com/p/hydrating-face-primer-small-xlsImpprod14521173""]"
i have fair skin and did not notice a difference before &amp; after applying this to my face. ended up returning it.,2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
i have fair skin without acne but occasional general pinkness around the t zone due to irritation. this corrector blends easily with fingers and completely neutralizes my skin tone as if i have foundation on. it doesn't cling to dry patches and maintains even pigment. it has a natural finish but doesn't slide around my face even without powder. it sticks to my nose evenly and doesn't settle in pores. i can throw it on it looks undetectable up close to anyone but me. i was just shocked by how well this performed with little effort. this is like a high end complexion product and served the exact purpose i was hoping. im excited to try the peach corrector for under eyes and perhaps the concealers out of curiosity (but i dont even need it with this corrector!),2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
"i have had issues with other primers due to separation occurring (i struggle with dry skin). this one gave me such a great starting point, it blurred my pores, and made my skin appear flawless. i love it and definitely recommend it. i didn't notice a scent. it was packaged nicely and easy to use. and gave me great results.",2,2,"[""https://www.ulta.com/p/photo-finish-resurface-primer-with-glycolic-acid-pimprod2044509"", ""https://www.ulta.com/p/travel-size-photo-finish-resurface-primer-with-glycolic-acid-pimprod2044511""]"
"i have horrible dark circles and this is the only concealer that covers them, it can be cakey if you don't apply it right but once you learn how to apply it it'll cover anything",2,2,"[""https://www.ulta.com/p/hide-peek-concealer-pimprod2024755"", ""https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569""]"
i have light skin and have used this bronzer for many years. it looks very natural and i can use it both in the summer with a bit of a tan and in the winter and it looks great too. i like that it doesn't have any shimmer and that it comes in a mini size so very easy to travel with. i tried the hoola lite option since i do have fair skin and didn't like it as much.,3,3,"[""https://www.ulta.com/p/hoola-matte-powder-bronzer-jumbo-pimprod2045528"", ""https://www.ulta.com/p/hoola-matte-powder-bronzer-mini-xlsImpprod13741145"", ""https://www.ulta.com/p/hoola-matte-powder-bronzer-xlsImpprod820346""]"
